DATE,Sample ID,Result Parameter Name,Result Value,Result Value Units,Sample Matrix,Measured,Result (ug/L),No_Detect
2023-07-24 00:00:00,KIS-1,Silver,0.41,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Silver,0.15,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Silver,0.13,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Mercury,0.26,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Mercury,0.016,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Mercury,0.15,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Arsenic,3.4,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Barium,55.8,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Cadmium,0.12,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Chromium,19.8,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Lead,2.9,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Selenium,1.2,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Silver,0.11,mg/kg,Soil,,,0
2023-07-12 00:00:00,PPS-1,Mercury,0.031,mg/kg,Soil,,,0
2023-07-24 00:00:00,S4S-2,Arsenic,23.8,mg/kg,Soil,,,0
2023-07-24 00:00:00,S4S-2,Barium,62.4,mg/kg,Soil,,,0
2023-07-24 00:00:00,S4S-2,Cadmium,0.81,mg/kg,Soil,,,0
2023-07-24 00:00:00,S4S-2,Chromium,21.8,mg/kg,Soil,,,0
2023-07-24 00:00:00,S4S-2,Lead,27.9,mg/kg,Soil,,,0
2023-07-24 00:00:00,S4S-2,Selenium,0.99,mg/kg,Soil,,,0
2023-07-24 00:00:00,S4S-2,Silver,0.43,mg/kg,Soil,,,0
2023-07-24 00:00:00,S4S-2,Mercury,0.043,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,1-Methylnaphthalene,0.0381,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,2-Methylnaphthalene,0.0588,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Acenaphthene,0.0584,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Acenaphthylene,0.0776,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Anthracene,0.162,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Benzo(a)anthracene,0.361,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Benzo(a)pyrene,0.309,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Benzo(b)fluoranthene,0.466,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,"Benzo(g,h,i)perylene",0.137,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Benzo(k)fluoranthene,0.188,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Chrysene,0.482,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,"Dibenz(a,h)anthracene",0.038,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Fluoranthene,0.768,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Fluorene,0.0432,mg/kg,Soil,,,0
